LAST SEEN   TYPE      REASON                   OBJECT                            MESSAGE
49m         Normal    Scheduled                pod/greenbone-59bffdcd94-z8f45    Successfully assigned openvas/greenbone-59bffdcd94-z8f45 to talos-cleanroom-worker-01
49m         Normal    Scheduled                pod/greenbone-75d6cc858-l77r6     Successfully assigned openvas/greenbone-75d6cc858-l77r6 to talos-cleanroom-worker-01
11m         Normal    Scheduled                pod/greenbone-66cb98dcbb-9w9mb    Successfully assigned openvas/greenbone-66cb98dcbb-9w9mb to talos-cleanroom-worker-01
6m28s       Normal    Scheduled                pod/greenbone-5b47cbc679-zd5bv    Successfully assigned openvas/greenbone-5b47cbc679-zd5bv to talos-cleanroom-worker-01
10s         Normal    Scheduled                pod/login-test-s8-3058            Successfully assigned openvas/login-test-s8-3058 to talos-cleanroom-worker-02
11m         Normal    Scheduled                pod/login-test-s7-3058            Successfully assigned openvas/login-test-s7-3058 to talos-cleanroom-worker-02
43m         Normal    Scheduled                pod/login-test-s1-2590            Successfully assigned openvas/login-test-s1-2590 to talos-cleanroom-worker-02
23m         Normal    Scheduled                pod/login-test-now                Successfully assigned openvas/login-test-now to talos-cleanroom-worker-02
22m         Normal    Scheduled                pod/login-test-json               Successfully assigned openvas/login-test-json to talos-cleanroom-worker-02
22m         Normal    Scheduled                pod/login-test-form               Successfully assigned openvas/login-test-form to talos-cleanroom-worker-02
42m         Normal    Scheduled                pod/greenbone-75d6cc858-25z4k     Successfully assigned openvas/greenbone-75d6cc858-25z4k to talos-cleanroom-worker-02
18m         Normal    Scheduled                pod/greenbone-75d6cc858-2mdrv     Successfully assigned openvas/greenbone-75d6cc858-2mdrv to talos-cleanroom-worker-01
41m         Normal    Scheduled                pod/greenbone-75d6cc858-b7wzv     Successfully assigned openvas/greenbone-75d6cc858-b7wzv to talos-cleanroom-worker-01
42m         Normal    Scheduled                pod/greenbone-7fffdbd8-trww6      Successfully assigned openvas/greenbone-7fffdbd8-trww6 to talos-cleanroom-worker-01
18m         Normal    Scheduled                pod/greenbone-7fffdbd8-67vcp      Successfully assigned openvas/greenbone-7fffdbd8-67vcp to talos-cleanroom-worker-01
