LAST SEEN   TYPE      REASON                   OBJECT                            MESSAGE
31m         Normal    Pulled                   pod/greenbone-75d6cc858-l77r6     (combined from similar events): Container image "harbor.knowledgeondemand.net/cleanroom/gsa:stable" already present on machine
31m         Normal    Started                  pod/login-test-s1-2590            Started container login-test-s1-2590
31m         Normal    Created                  pod/login-test-s1-2590            Created container: login-test-s1-2590
31m         Normal    Pulled                   pod/login-test-s1-2590            Successfully pulled image "curlimages/curl" in 793ms (793ms including waiting). Image size: 10299358 bytes.
31m         Normal    SuccessfulDelete         replicaset/greenbone-75d6cc858    Deleted pod: greenbone-75d6cc858-l77r6
31m         Warning   Unhealthy                pod/greenbone-75d6cc858-l77r6     Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
31m         Warning   FailedAttachVolume       pod/greenbone-75d6cc858-25z4k     Multi-Attach error for volume "pvc-32719157-9edf-4b9f-ab75-ed190fdd9112" Volume is already used by pod(s) greenbone-75d6cc858-l77r6
31m         Warning   FailedAttachVolume       pod/greenbone-75d6cc858-25z4k     Multi-Attach error for volume "pvc-b5377b23-5485-47e0-b40e-fbc963182dad" Volume is already used by pod(s) greenbone-75d6cc858-l77r6
31m         Normal    SuccessfulCreate         replicaset/greenbone-75d6cc858    Created pod: greenbone-75d6cc858-25z4k
31m         Warning   FailedAttachVolume       pod/greenbone-75d6cc858-25z4k     Multi-Attach error for volume "pvc-cf679149-f12e-496d-bbdc-1961717d974a" Volume is already used by pod(s) greenbone-75d6cc858-l77r6
31m         Warning   FailedAttachVolume       pod/greenbone-75d6cc858-25z4k     Multi-Attach error for volume "pvc-9a101b25-5e2b-4eaf-bb39-ecc64eb10672" Volume is already used by pod(s) greenbone-75d6cc858-l77r6
31m         Warning   FailedAttachVolume       pod/greenbone-75d6cc858-25z4k     Multi-Attach error for volume "pvc-2408816c-9e29-41ba-9652-e64765502a66" Volume is already used by pod(s) greenbone-75d6cc858-l77r6
31m         Warning   FailedAttachVolume       pod/greenbone-75d6cc858-25z4k     Multi-Attach error for volume "pvc-510fc7e6-14f4-458c-8d7c-b2c707c553c5" Volume is already used by pod(s) greenbone-75d6cc858-l77r6
